player,position,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury
Breshad Perriman,WR,Knee,Hamstring,Questionable,Knee,Hamstring
Nate Davis,G,Knee,Foot,Questionable,Knee,Foot
Melvin Gordon,RB,Neck,Ribs,Questionable,Neck,Ribs
Shaquille Leonard,LB,Concussion,"Nose, Back",Out,Concussion,"Nose, Back"
Tua Tagovailoa,QB,Concussion,Ankle,Out,Concussion,Ankle
Teddy Bridgewater,QB,Concussion,Pectoral,Questionable,Concussion,Pectoral
Gabe Jackson,G,Knee,Hip,Doubtful,Knee,Hip
Arik Armstead,DT,Foot,Ankle,Out,Foot,Ankle
Justin Houston,LB,Groin,Not injury related - resting player,Questionable,Groin,Not injury related - resting p
Marcus Peters,CB,Not injury related - resting player,Quadricep,Questionable,Not injury related - resting player,Quadricep
D'Andre Swift,RB,Ankle,Shoulder,Questionable,Ankle,Shoulder
James Pierre,CB,Hip,Knee,Questionable,Hip,Knee
Pharaoh Brown,TE,Concussion,Neck,Questionable,Concussion,Neck
Elgton Jenkins,G,Knee,Foot,Questionable,Knee,Foot
Divine Deablo,LB,Back,Ankle,Questionable,Back,Ankle
Gabe Jackson,G,Hip,Knee,Questionable,Hip,Knee
Tyler Lockett,WR,Hamstring,Ribs,Questionable,Hamstring,Ribs
Mark Andrews,TE,Knee,Shoulder,Doubtful,Knee,Shoulder
Marcus Peters,CB,Quadricep,Knee,Questionable,Quadricep,Knee
D'Andre Swift,RB,Shoulder,Ankle,Questionable,Shoulder,Ankle
Preston Smith,LB,Shoulder,Neck,Questionable,Shoulder,Neck
Brandin Cooks,WR,Wrist,Not injury related - personal matter,Questionable,Wrist,Not injury related - personal 
Dennis Kelly,T,Calf,Ankle,Questionable,Calf,Ankle
Joe Fortson,TE,Quadricep,Illness,Out,Quadricep,Illness
Divine Deablo,LB,Back,Wrist,Questionable,Back,Wrist
Austin Jackson,T,Ankle,Calf,Doubtful,Ankle,Calf
Terron Armstead,T,Toe,Achilles,Questionable,Toe,Achilles
Akiem Hicks,DT,Foot,Not injury related - resting player,Questionable,Foot,Not injury related - resting p
Matt Prater,K,right Hip,Illness,Questionable,right Hip,Illness
Tremaine Edmunds,LB,Groin,Heel,Questionable,Groin,Heel
Eric Stokes,CB,Ankle,Knee,Out,Ankle,Knee
Shaquille Leonard,LB,Back,Ankle,Out,Back,Ankle
Jerick McKinnon,RB,Shoulder,Knee / Hamstring,Questionable,Shoulder,Knee / Hamstring
Denzel Perryman,LB,Hip,Ribs,Questionable,Hip,Ribs
Hunter Long,TE,Concussion,Illness,Out,Concussion,Illness
Terron Armstead,T,Toe,Calf,Questionable,Toe,Calf
Austin Jackson,T,Ankle,Calf,Questionable,Ankle,Calf
Jason Verrett,CB,Knee,Achilles,Out,Knee,Achilles
Samson Ebukam,DE,Quadricep,Achilles,Doubtful,Quadricep,Achilles
